global_batch,control_batch,arrow_task_batch,qa_task_batch
71800,0.001244,0.003121,0.001053
71900,0.001203,0.003053,0.001059
72000,0.001268,0.003066,0.001060
72100,0.001269,0.003095,0.001055
72200,0.001244,0.003056,0.001046
72300,0.001254,0.003061,0.001052
72400,0.001281,0.003068,0.001062
72500,0.001260,0.003064,0.001056
72600,0.001238,0.003082,0.001054
72700,0.001250,0.003076,0.001033
72800,0.001209,0.003077,0.001051
72900,0.001218,0.003064,0.001054
73000,0.001231,0.003101,0.001055
73100,0.001215,0.003052,0.001049
73200,0.001241,0.003087,0.001042
73300,0.001222,0.003092,0.001046
73400,0.001254,0.003131,0.001061
73500,0.001239,0.003056,0.001066
73600,0.001246,0.003057,0.001061
73700,0.001248,0.003090,0.001049
73800,0.001258,0.003055,0.001054
73900,0.001207,0.003004,0.001048
74000,0.001217,0.003130,0.001066
74100,0.001234,0.003059,0.001051
74200,0.001246,0.003143,0.001042
74300,0.001259,0.003030,0.001089
74400,0.001271,0.003063,0.001062
74500,0.001219,0.003050,0.001053
74600,0.001263,0.003096,0.001056
74700,0.001258,0.003098,0.001064
74800,0.001207,0.003046,0.001031
74900,0.001282,0.003077,0.001045
75000,0.001234,0.003057,0.001042
75100,0.001263,0.003041,0.001061
75200,0.001279,0.003056,0.001058
75300,0.001230,0.003044,0.001041
75400,0.001222,0.003070,0.001049
75500,0.001239,0.003095,0.001034
75600,0.001259,0.003044,0.001052
75700,0.001268,0.003040,0.001047
75800,0.001252,0.003085,0.001070
75900,0.001249,0.003040,0.001045
76000,0.001264,0.003077,0.001054
