global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
19200,0.000620,0.001240,0.002009,0.006990,0.000921,0.000826,0.000835,0.002198,0.001682,0.000803
19300,0.000608,0.001238,0.002048,0.006367,0.000923,0.000810,0.000809,0.002194,0.001670,0.000779
19400,0.000598,0.001128,0.002100,0.007126,0.000925,0.000790,0.000791,0.002217,0.001704,0.000746
19500,0.000639,0.001141,0.002077,0.006681,0.000932,0.000789,0.000827,0.002220,0.001699,0.000794
19600,0.001552,0.001384,0.002608,0.058139,0.001285,0.001423,0.001246,0.003095,0.002367,0.001565
19700,0.002707,0.001708,0.003020,0.046033,0.001957,0.001339,0.001584,0.003133,0.002834,0.003743
19800,0.002425,0.003196,0.003649,0.026358,0.002200,0.001796,0.001800,0.003206,0.003419,0.004398
19900,0.001407,0.001482,0.002417,0.025079,0.001268,0.001016,0.001220,0.002493,0.002079,0.001642
20000,0.000916,0.001341,0.002318,0.014855,0.001094,0.000961,0.000984,0.002443,0.001914,0.001180
20100,0.001016,0.001212,0.002134,0.007983,0.001089,0.000915,0.000940,0.002330,0.001846,0.001003
20200,0.000763,0.001207,0.002150,0.008238,0.001020,0.000887,0.000909,0.002273,0.001749,0.001005
20300,0.004406,0.001224,0.002472,0.009768,0.001214,0.001002,0.001011,0.002481,0.002113,0.002005
20400,0.000917,0.001183,0.002221,0.007792,0.001229,0.000952,0.000926,0.002515,0.002012,0.001025
20500,0.000804,0.001156,0.002085,0.007368,0.001026,0.000901,0.000929,0.002305,0.001830,0.000936
20600,0.000748,0.001116,0.002123,0.007077,0.000985,0.000850,0.000879,0.002303,0.001773,0.000870
20700,0.000655,0.001095,0.002068,0.006846,0.000962,0.000841,0.000859,0.002274,0.001791,0.000835
20800,0.000714,0.001113,0.002078,0.006443,0.000958,0.000830,0.000868,0.002253,0.001698,0.000834
20900,0.000663,0.001131,0.002075,0.007729,0.000968,0.000841,0.000848,0.002234,0.001707,0.000824
21000,0.000676,0.001173,0.002075,0.007112,0.000955,0.000833,0.000841,0.002236,0.001748,0.000843
21100,0.000669,0.001140,0.002058,0.007289,0.000946,0.000815,0.000816,0.002234,0.001670,0.000810
21200,0.000653,0.001087,0.002027,0.007566,0.000945,0.000830,0.000814,0.002233,0.001692,0.000818
21300,0.000642,0.001167,0.002063,0.006123,0.000962,0.000785,0.000844,0.002219,0.001673,0.000809
21400,0.000650,0.001308,0.002052,0.007240,0.000955,0.000801,0.000819,0.002218,0.001683,0.000813
21500,0.000648,0.001114,0.002047,0.007592,0.000931,0.000818,0.000832,0.002256,0.001689,0.000814
21600,0.000624,0.001082,0.002009,0.006987,0.000937,0.000800,0.000832,0.002215,0.001686,0.000770
21700,0.000622,0.001124,0.002036,0.006902,0.000934,0.000806,0.000805,0.002235,0.001656,0.000786
21800,0.000671,0.001234,0.001999,0.006870,0.000924,0.000820,0.000837,0.002191,0.001670,0.000787
21900,0.000633,0.001146,0.002022,0.007268,0.000939,0.000796,0.000854,0.002224,0.001662,0.000773
22000,0.000647,0.001197,0.002066,0.007048,0.000925,0.000821,0.000802,0.002221,0.001676,0.000762
22100,0.000636,0.001218,0.002019,0.006949,0.000922,0.000813,0.000819,0.002193,0.001669,0.000797
22200,0.000620,0.001224,0.002035,0.006848,0.000926,0.000815,0.000796,0.002232,0.001724,0.000796
22300,0.000609,0.001219,0.002018,0.007377,0.000941,0.000786,0.000823,0.002229,0.001723,0.000767
22400,0.000633,0.001261,0.002010,0.006927,0.000931,0.000826,0.000830,0.002216,0.001668,0.000777
22500,0.000623,0.001159,0.002011,0.006699,0.000918,0.000804,0.000822,0.002181,0.001627,0.000774
22600,0.000608,0.001199,0.002020,0.006598,0.000923,0.000791,0.000794,0.002235,0.001716,0.000794
22700,0.000613,0.001065,0.002068,0.007214,0.000936,0.000799,0.000815,0.002220,0.001663,0.000787
22800,0.000629,0.001181,0.002085,0.006929,0.000924,0.000794,0.000794,0.002191,0.001669,0.000758
22900,0.000635,0.001214,0.002034,0.006926,0.000917,0.000822,0.000823,0.002219,0.001729,0.000776
23000,0.000600,0.001204,0.002015,0.007112,0.000935,0.000811,0.000785,0.002212,0.001699,0.000774
23100,0.000610,0.001218,0.002056,0.006178,0.000938,0.000796,0.000840,0.002213,0.001681,0.000764
23200,0.000600,0.001199,0.002017,0.006672,0.000917,0.000797,0.000811,0.002215,0.001689,0.000759
23300,0.000635,0.001116,0.002035,0.007111,0.000939,0.000815,0.000828,0.002230,0.001696,0.000776
23400,0.000622,0.001292,0.002003,0.007208,0.000921,0.000797,0.000811,0.002213,0.001655,0.000773
23500,0.000598,0.001119,0.002022,0.006926,0.000919,0.000817,0.000798,0.002195,0.001671,0.000796
23600,0.000613,0.001123,0.002060,0.006698,0.000924,0.000782,0.000826,0.002216,0.001675,0.000752
23700,0.000610,0.001092,0.002059,0.006440,0.000934,0.000807,0.000801,0.002246,0.001715,0.000741
