global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch,secondary_solver_batch
16200,0.000645,0.000972,0.003081,0.006753,0.001148,0.000999,0.000998,0.002127,0.002491,0.000610,0.000353,0.000376
16300,0.000575,0.000988,0.003078,0.007364,0.001147,inf,0.001000,0.002125,0.002316,0.000699,0.000375,0.000370
16400,0.000608,0.001063,0.003080,0.006960,0.001137,0.000998,0.000998,0.002155,0.002389,0.000694,0.000341,0.000353
16500,inf,0.000999,0.003075,0.005861,0.001137,0.000998,0.000997,0.002122,0.002349,0.000663,0.000346,0.000359
16600,0.000632,0.000990,0.003079,0.007007,0.001131,0.001003,0.001002,0.002123,0.002199,0.000681,0.000320,0.000349
16700,0.000601,0.000952,0.003078,0.007138,0.001124,0.000998,0.000999,0.002133,0.002707,0.000631,0.000369,0.000355
16800,0.000629,0.000997,0.003075,0.006751,0.001128,0.000996,0.000997,0.002176,0.002238,0.000641,0.000368,0.000359
16900,0.000580,0.000928,0.003085,0.007419,0.001144,0.001002,0.000999,0.002138,0.002230,0.000721,0.000363,0.000378
17000,0.000571,0.000919,0.003082,0.006618,0.001141,0.000998,0.001001,0.002139,0.002319,0.000654,0.000363,0.000340
17100,0.000585,0.000955,0.003077,0.006216,0.001141,0.000997,0.000997,0.002137,0.002868,0.000653,0.000331,0.000365
17200,0.000569,0.000892,0.003081,0.006170,0.001129,0.001002,0.001001,0.002153,0.002405,0.000669,0.000334,0.000349
17300,0.000610,0.000922,0.003077,0.007936,0.001136,0.001001,0.001000,0.002123,0.002526,0.000744,0.000337,0.000367
17400,0.000594,0.001048,0.003077,0.007526,0.001137,0.001000,0.000996,0.002111,0.002716,0.000659,0.000377,0.000363
17500,0.000602,0.000933,0.003080,0.006081,0.001131,0.000998,0.001000,0.002116,0.002332,0.000619,0.000348,0.000357
17600,0.000577,0.000946,0.003072,0.007553,0.001149,0.001000,0.000998,0.002121,0.002385,0.000613,0.000347,0.000365
17700,0.000569,0.000960,0.003089,0.006582,0.001132,0.001000,0.001001,0.002113,0.002729,0.000634,0.000360,0.000372
17800,0.000567,0.000999,0.003075,0.007525,0.001127,0.000996,0.000998,0.002151,0.002393,0.000630,0.000362,0.000342
17900,0.000606,0.001023,0.003078,0.006424,0.001133,0.001002,0.001000,0.002178,0.002540,0.000608,0.000358,0.000351
18000,0.000592,0.001013,0.003079,0.007161,0.001127,0.000997,0.001002,0.002115,0.002420,0.000600,0.000351,0.000359
18100,0.000567,0.001015,0.003075,0.006818,0.001142,0.000996,0.001000,0.002121,0.002914,0.000619,0.000353,0.000358
18200,0.000548,0.000953,0.003074,0.006964,0.001142,0.000999,0.000996,0.002146,0.002623,0.000642,0.000333,0.000352
18300,0.000588,0.000974,0.003079,0.006481,0.001135,0.000998,0.000998,0.002083,0.002558,0.000653,0.000329,0.000356
18400,0.000623,0.000994,0.003080,0.006613,0.001128,0.000998,0.000998,0.002125,0.002458,0.000604,0.000356,0.000345
18500,0.000608,0.001046,0.003082,0.006337,0.001143,0.000998,0.000995,0.002131,0.002577,0.000629,0.000335,0.000369
18600,0.000543,0.000965,0.003084,0.007105,0.001133,0.001002,0.001002,0.002167,0.002638,0.000584,0.000385,0.000338
18700,0.000592,0.000972,0.003076,0.005930,0.001134,0.001000,0.000997,0.002172,0.002505,0.000699,0.000349,0.000353
18800,0.000605,0.000958,0.003080,0.007070,0.001141,0.001000,0.001000,0.002135,0.002603,0.000611,0.000363,0.000353
18900,0.000555,0.000988,0.003077,0.006937,0.001140,0.000994,0.000995,0.002150,0.002477,0.000678,0.000331,0.000363
19000,0.000587,0.000933,0.003075,0.005624,0.001146,0.000997,0.000998,inf,0.002609,0.000673,0.000329,0.000354
19100,0.000590,0.000963,0.003080,0.006253,0.001150,0.000999,0.000999,0.002152,0.002199,0.000719,0.000354,0.000364
19200,0.000612,0.000939,0.003076,0.008053,0.001147,0.001001,inf,0.002120,0.002180,0.000701,0.000341,0.000356
19300,0.000568,0.001001,0.003083,0.006010,0.001150,0.000998,0.000998,0.002133,0.002190,0.000593,0.000376,0.000373
19400,0.000597,0.000964,0.003077,0.006583,0.001142,0.000998,0.000999,0.002112,0.002803,0.000673,0.000389,0.000368
19500,0.000613,0.000873,0.003081,0.006373,0.001135,0.000997,0.000996,0.002152,0.002301,0.000651,0.000339,0.000374
19600,0.000572,0.001000,0.003079,0.006106,0.001146,0.000998,0.000997,0.002138,0.002472,0.000675,0.000346,0.000356
19700,0.000580,0.000944,0.003083,0.007113,0.001133,0.001010,0.001003,0.002146,0.002486,0.000679,0.000372,0.000359
19800,0.000579,0.000980,0.003082,0.007290,0.001126,0.000997,0.001002,0.002121,0.002779,0.000704,0.000356,0.000361
19900,0.000618,0.000978,0.003074,0.006730,0.001148,0.001001,0.001002,0.002135,0.002230,0.000589,0.000348,0.000350
20000,0.000598,0.000928,0.003076,0.006254,0.001151,0.000999,0.000998,0.002145,0.002474,0.000628,0.000328,0.000349
20100,0.000591,0.000965,0.003079,0.007168,0.001136,0.000997,0.000998,0.002123,0.002199,0.000662,0.000348,0.000352
20200,0.000581,0.000925,0.003084,0.006779,0.001146,0.000999,0.001002,0.002140,0.002610,0.000676,0.000364,0.000364
20300,0.000604,0.001001,0.003081,0.007639,0.001140,0.000997,0.000997,0.002134,0.002551,0.000618,0.000336,0.000357
20400,0.000570,0.000923,0.003078,0.007159,0.001148,0.000997,0.000996,0.002133,0.002424,0.000599,0.000365,0.000360
20500,0.000527,0.000887,0.003078,0.006146,0.001142,0.000996,0.000999,0.002139,0.002237,0.000643,0.000368,0.000341
20600,0.000565,0.000958,0.003077,0.007706,0.001121,0.000999,0.000998,0.002109,0.002550,0.000690,0.000346,0.000360
20700,0.000556,0.000948,0.003079,0.006769,0.001142,0.000997,0.000997,0.002123,0.002191,0.000642,0.000331,0.000374
20800,0.000580,0.001026,0.003074,0.005871,0.001144,0.001000,0.000999,0.002092,0.002200,0.000623,0.000356,0.000359
