global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch
26600,0.002368,0.001856,0.008945,0.008870
26700,0.002333,0.001851,0.008918,0.008368
26800,0.002369,0.001659,0.008876,0.007940
26900,0.002360,0.001642,0.008889,0.008506
27000,0.002353,0.001685,0.008921,0.008303
27100,0.002389,0.001673,0.008899,0.008183
27200,0.002312,0.001780,0.008873,0.007894
27300,0.002287,0.001595,0.008861,0.008255
27400,0.002275,0.001784,0.008886,0.008783
27500,0.002280,0.001680,0.008868,0.008307
27600,0.002561,0.003342,0.009136,0.009402
27700,0.002461,0.004906,0.009170,0.008562
27800,0.002369,0.003252,0.008992,0.008853
27900,0.002354,0.001907,0.008896,0.008486
28000,0.002283,0.001710,0.008882,0.008445
28100,0.002306,0.001649,0.008847,0.008806
28200,0.002280,0.001691,0.008871,0.008424
28300,0.002263,0.001563,0.008849,0.008445
28400,0.002276,0.001699,0.008854,0.008177
28500,0.002267,0.001664,0.008834,0.008688
28600,0.002239,0.001644,0.008860,0.008157
28700,0.002236,0.001612,0.008850,0.008175
28800,0.002241,0.001629,0.008834,0.008774
28900,0.002246,0.001620,0.008841,0.008549
29000,0.002286,0.001542,0.008836,0.008695
29100,0.002331,0.001555,0.008833,0.008749
29200,0.002278,0.001693,0.008913,0.009175
29300,0.002430,0.001962,0.008920,0.009427
29400,0.002358,0.001717,0.008877,0.008588
29500,0.002264,0.001689,0.008884,0.008588
29600,0.002248,0.001617,0.008854,0.008641
29700,0.002237,0.001583,0.008851,0.008344
29800,0.002209,0.001611,0.008840,0.008404
29900,0.002222,0.001537,0.008815,0.008043
30000,0.002226,0.001568,0.008836,0.008452
30100,0.002219,0.001622,0.008823,0.008085
30200,0.002239,0.001554,0.008819,0.008246
30300,0.002215,0.001613,0.008815,0.008069
30400,0.002219,0.001704,0.008810,0.008196
30500,0.002244,0.001658,0.008837,0.008537
30600,0.002198,0.001522,0.008797,0.008685
30700,0.002208,0.001589,0.008799,0.008238
30800,0.002214,0.001889,0.008815,0.008244
30900,0.002198,0.001748,0.008815,0.008524
31000,0.002201,0.001592,0.008812,0.008383
31100,0.002201,0.001604,0.008807,0.008593
31200,0.002197,0.001518,0.008802,0.008353
31300,0.002204,0.001623,0.008808,0.008353
31400,0.002194,0.001709,0.008781,0.008012
31500,0.002181,0.001680,0.008777,0.008530
31600,0.002208,0.001565,0.008783,0.008501
31700,0.002224,0.001838,0.008803,0.008418
31800,0.002934,0.003008,0.009398,0.032323
31900,0.002330,0.001844,0.008892,0.009126
32000,0.002246,0.001761,0.008836,0.008157
32100,0.002244,0.001656,0.008847,0.008632
32200,0.002237,0.001658,0.008816,0.008906
32300,0.002235,0.001838,0.008815,0.008471
32400,0.002208,0.001609,0.008805,0.008670
32500,0.002204,0.001659,0.008798,0.008020
32600,0.002193,0.001635,0.008804,0.007952
32700,0.002688,0.001723,0.008950,0.008758
32800,0.004843,0.004728,0.009831,0.011859
32900,0.002627,0.002432,0.009063,0.008147
33000,0.002466,0.001957,0.008971,0.008449
33100,0.002420,0.001957,0.008927,0.008297
33200,0.002371,0.001895,0.008911,0.008472
33300,0.002343,0.001848,0.008885,0.008573
33400,0.002558,0.001766,0.008902,0.008426
33500,0.002471,0.001895,0.008923,0.008417
33600,0.002414,0.001973,0.008896,0.008380
33700,0.002366,0.001670,0.008882,0.008532
33800,0.002373,0.001668,0.008870,0.008168
33900,0.002320,0.001630,0.008882,0.008311
34000,0.002299,0.001623,0.008860,0.008183
34100,0.002258,0.001592,0.008855,0.008157
34200,0.002284,0.001601,0.008826,0.007933
34300,0.002289,0.001569,0.008845,0.008319
34400,0.002268,0.001594,0.008808,0.008221
34500,0.002251,0.001652,0.008822,0.008755
34600,0.002273,0.001619,0.008818,0.008319
34700,0.002235,0.001588,0.008821,0.008677
34800,0.002291,0.001708,0.008835,0.008722
34900,0.002271,0.001622,0.008827,0.008474
35000,0.002231,0.001502,0.008809,0.008746
35100,0.002224,0.001572,0.008818,0.008484
35200,0.002226,0.001645,0.008817,0.007916
35300,0.002243,0.001595,0.008784,0.008283
35400,0.002219,0.001513,0.008796,0.008076
35500,0.002212,0.001510,0.008785,0.008059
35600,0.002214,0.001534,0.008792,0.008297
35700,0.002207,0.001565,0.008771,0.008477
35800,0.002210,0.001568,0.008800,0.008015
35900,0.002222,0.001676,0.008794,0.008157
36000,0.002196,0.001657,0.008788,0.008114
36100,0.002217,0.001632,0.008784,0.008348
36200,0.002200,0.001596,0.008785,0.008418
36300,0.002263,0.001674,0.008829,0.008323
36400,0.002220,0.001634,0.008788,0.008078
36500,0.002278,0.001636,0.008812,0.008875
36600,0.002641,0.004843,0.009287,0.014029
36700,0.002337,0.004831,0.009035,0.009035
36800,0.002424,0.004823,0.008968,0.008646
36900,0.002295,0.003067,0.008862,0.008776
37000,0.002261,0.001783,0.008807,0.007816
37100,0.002255,0.001649,0.008813,0.008524
37200,0.002213,0.001655,0.008783,0.008233
37300,0.002220,0.001737,0.008808,0.008428
37400,0.002211,0.001530,0.008790,0.008116
37500,0.002216,0.001745,0.008788,0.008398
37600,0.002181,0.001558,0.008771,0.008366
37700,0.002182,0.001634,0.008791,0.008488
37800,0.002195,0.001692,0.008779,0.008400
37900,0.002191,0.001641,0.008771,0.008452
38000,0.002205,0.001616,0.008760,0.008172
38100,0.002269,0.002093,0.008883,0.008909
38200,0.002225,0.001745,0.008830,0.008055
38300,0.002206,0.001707,0.008813,0.008314
38400,0.002194,0.001630,0.008780,0.008304
38500,0.002181,0.001604,0.008770,0.008450
38600,0.002185,0.001611,0.008796,0.008069
38700,0.002185,0.001641,0.008779,0.008573
38800,0.002194,0.001795,0.008789,0.008077
38900,0.002180,0.001625,0.008747,0.008668
39000,0.002161,0.001588,0.008735,0.008676
39100,0.002186,0.001579,0.008774,0.008448
39200,0.003668,0.001613,0.008974,0.008756
39300,0.002778,0.003610,0.009036,0.008522
39400,0.002339,0.002002,0.008840,0.008361
39500,0.002344,0.001632,0.008829,0.007922
39600,0.002270,0.001640,0.008820,0.008214
39700,0.002297,0.001653,0.008851,0.009146
39800,0.002289,0.001805,0.008816,0.008297
39900,0.002256,0.001622,0.008810,0.008452
40000,0.002242,0.001512,0.008817,0.008351
40100,0.002230,0.001509,0.008777,0.007932
40200,0.002222,0.001624,0.008762,0.008482
40300,0.002232,0.001673,0.008763,0.008625
40400,0.002236,0.001669,0.008784,0.008419
40500,0.002204,0.001673,0.008776,0.008403
40600,0.002199,0.001596,0.008784,0.008463
40700,0.002202,0.001550,0.008769,0.008251
40800,0.002192,0.001596,0.008765,0.008352
40900,0.002194,0.001558,0.008784,0.007751
41000,0.002172,0.001679,0.008754,0.008237
41100,0.002193,0.001760,0.008743,0.008040
41200,0.002186,0.001654,0.008746,0.008791
41300,0.002192,0.001622,0.008751,0.008245
41400,0.002198,0.001528,0.008758,0.008131
41500,0.002181,0.001575,0.008744,0.008054
41600,0.002166,0.001656,0.008733,0.008170
41700,0.002171,0.001578,0.008761,0.008386
41800,0.002178,0.001577,0.008744,0.008411
41900,0.002175,0.001868,0.008760,0.008523
42000,0.002177,0.001702,0.008731,0.008337
42100,0.002170,0.001679,0.008753,0.008093
42200,0.002147,0.001610,0.008740,0.008237
