global_batch,control_batch,arrow_task_batch,qa_task_batch
50500,0.000669,0.001690,0.001014
50600,0.000689,0.001684,0.001009
50700,0.000699,0.001622,0.000996
50800,0.000664,0.001793,0.001010
50900,0.000671,0.001647,0.001005
51000,0.000668,0.001565,0.001028
51100,0.000674,0.001647,0.000999
51200,0.000687,0.001793,0.001018
51300,0.000674,0.001644,0.001012
51400,0.000663,0.001645,0.000989
51500,0.000677,0.001665,0.001017
51600,0.000659,0.001654,0.001011
51700,0.000684,0.001644,0.001013
51800,0.000711,0.001648,0.001030
51900,0.000701,0.001603,0.001002
52000,0.000687,0.001667,0.001002
52100,0.000684,0.001797,0.001007
52200,0.000695,0.001785,0.001003
52300,0.000680,0.001742,0.001004
52400,0.000680,0.001688,0.000996
52500,0.000680,0.001647,0.000972
52600,0.000678,0.001834,0.000991
52700,0.000673,0.001595,0.001005
52800,0.000662,0.001647,0.001076
52900,0.000671,0.001661,0.001001
53000,0.000680,0.001640,0.001000
53100,0.000699,0.001627,0.001024
53200,0.000699,0.001600,0.001007
53300,0.000641,0.001595,0.001007
53400,0.000651,0.001660,0.001008
53500,0.000677,0.001796,0.000997
53600,0.000670,0.001616,0.000992
53700,0.000676,0.001625,0.000984
53800,0.000676,0.001689,0.000986
53900,0.000648,0.001589,0.001012
54000,0.000682,0.001670,0.000983
54100,0.000693,0.001755,0.001020
54200,0.000710,0.001611,0.001031
54300,0.000658,0.001658,0.001002
54400,0.000635,0.001547,0.000999
54500,0.000663,0.001567,0.000989
54600,0.000635,0.001620,0.000981
54700,0.000668,0.001650,0.000992
54800,0.000656,0.001614,0.000992
54900,0.000651,0.001595,0.000990
55000,0.000636,0.001611,0.000991
55100,0.000673,0.001623,0.000992
55200,0.000659,0.001628,0.000980
55300,0.000655,0.001575,0.000978
55400,0.000666,0.001774,0.001007
55500,0.000655,0.001528,0.000993
55600,0.000667,0.001583,0.001002
55700,0.000661,0.001862,0.000999
55800,0.000703,0.001544,0.000978
55900,0.000680,0.001532,0.000994
56000,0.000675,0.001698,0.000991
56100,0.000714,0.001670,0.001003
56200,0.000653,0.001568,0.000988
56300,0.000683,0.001588,0.000980
56400,0.000660,0.001558,0.000976
56500,0.000652,0.001628,0.000999
56600,0.000650,0.001609,0.000987
56700,0.000631,0.001606,0.000989
56800,0.000654,0.001665,0.001000
56900,0.000661,0.001566,0.000990
57000,0.000677,0.001584,0.001012
57100,0.000689,0.001633,0.000978
57200,0.000663,0.001626,0.000989
57300,0.000673,0.001671,0.000979
57400,0.000635,0.001634,0.000997
57500,0.000690,0.001582,0.000981
57600,0.000667,0.001621,0.000998
57700,0.000659,0.001592,0.000982
57800,0.000627,0.001497,0.000973
57900,0.000650,0.001547,0.000967
58000,0.000655,0.001551,0.000971
58100,0.000660,0.001519,0.000972
58200,0.000644,0.001624,0.000974
58300,0.000660,0.001559,0.000974
