global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch
36500,0.001536,0.002541,0.001341,0.001981
36600,0.001282,0.002195,0.001281,0.003869
36700,0.001188,0.002241,0.001351,0.002628
36800,0.001606,0.002388,0.001338,0.006278
36900,0.001209,0.002155,0.001277,0.002658
37000,0.001499,0.002673,0.001556,0.004449
37100,0.001162,0.002441,0.001294,0.002512
37200,0.001063,0.001998,0.001225,0.002561
37300,0.001142,0.002117,0.001228,0.002948
37400,0.001093,0.001913,0.001233,0.001808
37500,0.000996,0.001926,0.001196,0.001987
37600,0.001167,0.001892,0.001235,0.003175
37700,0.001071,0.001957,0.001187,0.003082
37800,0.001804,0.002249,0.001349,0.002465
37900,0.001524,0.002110,0.001463,0.003683
38000,0.001428,0.001973,0.001267,0.002845
38100,0.001424,0.002467,0.001353,0.003050
38200,0.001632,0.002025,0.001270,0.002193
38300,0.002627,0.002040,0.001496,0.002501
38400,0.002006,0.001863,0.001276,0.001333
38500,0.003057,0.004042,0.002709,0.003124
38600,0.001567,0.002746,0.001682,0.001823
38700,0.001500,0.002190,0.001400,0.002270
38800,0.001333,0.002183,0.001346,0.002397
38900,0.001759,0.003138,0.001470,0.002434
39000,0.001925,0.002323,0.001274,0.002639
39100,0.001286,0.002080,0.001385,0.003678
39200,0.002030,0.003186,0.002799,0.005785
39300,0.001498,0.002285,0.001504,0.007230
39400,0.001340,0.001939,0.001468,0.002813
39500,0.001253,0.001886,0.001253,0.002378
39600,0.001189,0.002006,0.001238,0.002503
39700,0.001195,0.001872,0.001205,0.002177
39800,0.001128,0.001857,0.001182,0.002064
39900,0.001059,0.001829,0.001157,0.002355
40000,0.002001,0.001886,0.001263,0.002263
40100,0.001953,0.001826,0.001368,0.002058
40200,0.001097,0.001883,0.001470,0.002873
40300,0.001069,0.001616,0.001281,0.001760
40400,0.001795,0.001777,0.001159,0.001716
40500,0.001609,0.002452,0.001328,0.002407
40600,0.001210,0.001901,0.001150,0.001559
40700,0.001197,0.001686,0.001142,0.001523
40800,0.000939,0.001662,0.001092,0.001076
40900,0.000946,0.001622,0.001323,0.001094
41000,0.001134,0.001656,0.001110,0.001126
41100,0.002107,0.002035,0.001172,0.002083
41200,0.001595,0.002580,0.001196,0.002266
41300,0.002248,0.002401,0.001229,0.003900
41400,0.005624,0.003126,0.001484,0.005384
41500,0.001711,0.002031,0.001193,0.002208
41600,0.003246,0.002458,0.001417,0.003202
41700,0.002063,0.002033,0.001387,0.002704
41800,0.001417,0.001674,0.001249,0.001289
41900,0.001426,0.001636,0.001259,0.001514
42000,0.001790,0.001677,0.001201,0.001509
42100,0.002807,0.001988,0.001287,0.003215
42200,0.001422,0.001740,0.001255,0.001449
42300,0.000982,0.001589,0.001117,0.001320
42400,0.001866,0.001586,0.001128,0.001390
42500,0.001570,0.001683,0.001307,0.001909
42600,0.001153,0.001490,0.001442,0.002677
42700,0.001237,0.001655,0.001171,0.001875
42800,0.001491,0.002285,0.001347,0.005136
42900,0.001281,0.001916,0.001156,0.002288
43000,0.001096,0.001692,0.001118,0.001234
43100,0.001235,0.002448,0.001273,0.003671
43200,0.001024,0.001901,0.001153,0.002958
43300,0.001357,0.002186,0.001208,0.002627
43400,0.000981,0.002020,0.001152,0.003100
43500,0.000941,0.001759,0.001036,0.001918
43600,0.000916,0.001674,0.001043,0.001532
43700,0.001648,0.001909,0.001157,0.000862
43800,0.001119,0.001768,0.001282,0.002312
43900,0.001221,0.001950,0.001157,0.001283
44000,0.002565,0.003791,0.001451,0.001482
44100,0.001389,0.002347,0.001246,0.001174
44200,0.001533,0.002563,0.001304,0.002060
44300,0.001317,0.001876,0.001195,0.000777
44400,0.002014,0.001805,0.001245,0.000629
44500,0.001175,0.001700,0.001188,0.001484
44600,0.001565,0.003500,0.001356,0.000842
44700,0.001222,0.003157,0.001228,0.000787
44800,0.001028,0.001924,0.001163,0.000610
44900,0.001009,0.001693,0.001129,0.000931
45000,0.001040,0.001738,0.001058,0.000693
45100,0.000968,0.001669,0.001592,0.001109
45200,0.000863,0.001581,0.001063,0.000765
45300,0.002233,0.003979,0.001600,0.004306
45400,0.003908,0.005494,0.003642,0.009067
45500,0.002023,0.004603,0.002425,0.004665
45600,0.003168,0.004725,0.002329,0.011043
45700,0.002617,0.006153,0.002071,0.004864
45800,0.001986,0.004919,0.001706,0.001516
45900,0.001565,0.004707,0.001590,0.001818
46000,0.001312,0.003778,0.001240,0.001127
46100,0.001631,0.002962,0.001527,0.001880
46200,0.002513,0.004783,0.001599,0.002641
46300,0.002318,0.003832,0.001513,0.002518
46400,0.002689,0.004172,0.001496,0.003116
46500,0.004794,0.006567,0.001908,0.001972
46600,0.001894,0.004428,0.001877,0.001964
46700,0.001632,0.002672,0.001278,0.001026
46800,0.001231,0.002340,0.001282,0.001104
46900,0.001462,0.004942,0.001999,0.001832
47000,0.001182,0.002536,0.001160,0.000940
47100,0.001262,0.002007,0.001192,0.001063
47200,0.002838,0.001770,0.001114,0.001407
47300,0.001038,0.001789,0.001132,0.001007
47400,0.001490,0.002674,0.001227,0.001380
47500,0.002645,0.001925,0.001128,0.000853
47600,0.001029,0.001756,0.001124,0.000727
47700,0.001737,0.001851,0.001120,0.000858
47800,0.000963,0.001670,0.001080,0.000827
47900,0.000964,0.001710,0.001241,0.001535
48000,0.001204,0.001640,0.001046,0.000669
48100,0.002032,0.001563,0.001051,0.000670
48200,0.000888,0.001622,0.001137,0.000896
48300,0.001446,0.001704,0.001111,0.000844
48400,0.001076,0.002028,0.001103,0.000656
48500,0.001222,0.001664,0.001105,0.000617
48600,0.001055,0.001653,0.001105,0.001163
48700,0.001020,0.001498,0.001062,0.000789
48800,0.000916,0.001716,0.001068,0.000579
48900,0.000883,0.001510,0.001081,0.001470
49000,0.002521,0.001597,0.001083,0.000992
49100,0.001014,0.002185,0.001090,0.002188
49200,0.002020,0.001908,0.001104,0.001238
49300,0.001151,0.001671,0.001048,0.000676
49400,0.001214,0.001631,0.001072,0.000591
49500,0.000829,0.001565,0.001025,0.000685
49600,0.001007,0.001588,0.001016,0.000766
49700,0.000815,0.001574,0.000999,0.000817
49800,0.004517,0.002434,0.001643,0.002200
49900,0.001875,0.002894,0.001215,0.000910
50000,0.001173,0.002161,0.001100,0.000835
50100,0.001017,0.001783,0.001078,0.001158
50200,0.001091,0.002181,0.001201,0.001295
50300,0.000950,0.001906,0.001083,0.000926
50400,0.000917,0.001826,0.001093,0.002260
50500,0.001580,0.002596,0.001216,0.000806
50600,0.001681,0.002855,0.002003,0.001693
50700,0.001908,0.002593,0.001191,0.001000
50800,0.001219,0.002041,0.001160,0.001167
50900,0.000981,0.001890,0.001506,0.000857
51000,0.001682,0.002113,0.001321,0.002142
51100,0.001127,0.001690,0.001100,0.000898
51200,0.002582,0.004514,0.002034,0.001825
51300,0.001918,0.002501,0.001342,0.001814
51400,0.002122,0.001982,0.001424,0.001286
51500,0.001481,0.002012,0.001258,0.002206
51600,0.001318,0.002164,0.001174,0.001164
51700,0.001112,0.001897,0.001133,0.001067
51800,0.001198,0.001683,0.001134,0.001047
51900,0.001589,0.001672,0.001104,0.000590
52000,0.003028,0.001579,0.001154,0.000603
52100,0.001441,0.002067,0.001121,0.001164
52200,0.001010,0.001659,0.001195,0.000764
52300,0.000997,0.001700,0.001210,0.001867
52400,0.000958,0.001564,0.001095,0.000893
52500,0.002592,0.001661,0.001072,0.000679
52600,0.000947,0.001922,0.001085,0.000772
52700,0.002444,0.003801,0.001673,0.003885
52800,0.004465,0.005554,0.002473,0.007623
52900,0.002221,0.004816,0.002002,0.003718
53000,0.001444,0.004282,0.001345,0.001307
53100,0.001482,0.002438,0.001334,0.002286
53200,0.001361,0.002002,0.001211,0.001085
53300,0.001392,0.003120,0.001294,0.001288
53400,0.002215,0.001858,0.001160,0.001317
53500,0.001176,0.001726,0.001170,0.001842
53600,0.001122,0.001909,0.001179,0.001146
53700,0.001003,0.001659,0.001116,0.001231
53800,0.000989,0.001652,0.001087,0.001526
53900,0.000959,0.001646,0.001097,0.001547
54000,0.001428,0.001710,0.001198,0.000744
54100,0.001104,0.002288,0.001196,0.002411
54200,0.001564,0.002902,0.001421,0.001517
54300,0.001291,0.001816,0.001165,0.001355
54400,0.001108,0.001882,0.001154,0.000827
54500,0.001332,0.001694,0.001142,0.001131
54600,0.001136,0.001858,0.001123,0.001505
54700,0.000957,0.001710,0.001101,0.001120
54800,0.000882,0.001655,0.001198,0.000889
54900,0.001145,0.003057,0.001277,0.001424
55000,0.001325,0.001908,0.001287,0.002297
55100,0.001034,0.001912,0.001083,0.000842
55200,0.002225,0.002572,0.001952,0.001735
55300,0.002936,0.001897,0.001237,0.001554
55400,0.001059,0.001862,0.001135,0.000861
55500,0.000927,0.001828,0.001176,0.000637
55600,0.001411,0.001750,0.001110,0.000603
55700,0.001013,0.001576,0.001108,0.001538
55800,0.002038,0.002449,0.001254,0.003325
55900,0.001151,0.002090,0.001165,0.002354
56000,0.002206,0.002167,0.001165,0.001937
56100,0.001084,0.003228,0.001140,0.002270
56200,0.002923,0.001874,0.001096,0.001685
56300,0.001444,0.001765,0.001210,0.001244
56400,0.000946,0.001988,0.001065,0.000897
56500,0.000933,0.001812,0.001156,0.001658
56600,0.001141,0.001863,0.001108,0.000647
56700,0.002598,0.002577,0.001133,0.000811
56800,0.001911,0.001656,0.001090,0.001436
56900,0.001292,0.001672,0.001066,0.001746
57000,0.001210,0.001992,0.001189,0.001261
57100,0.000936,0.001815,0.001078,0.001623
57200,0.000878,0.001613,0.001050,0.001008
57300,0.001442,0.001602,0.001063,0.000707
57400,0.000938,0.001565,0.001041,0.001293
57500,0.000865,0.001922,0.001073,0.001258
57600,0.001337,0.001521,0.001026,0.001188
57700,0.000846,0.001647,0.001041,0.000552
57800,0.000782,0.001625,0.001030,0.000809
57900,0.000758,0.001585,0.001043,0.001822
58000,0.001352,0.001745,0.001150,0.001292
58100,0.004458,0.002058,0.001796,0.000945
58200,0.001660,0.001617,0.001069,0.000787
58300,0.001046,0.001817,0.001057,0.000770
