global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch
9400,0.000603,0.000904,0.003078,0.006235,0.001135,0.001003,0.001003,0.002144,0.002650,0.000645,0.000307
9500,0.000555,0.000936,0.003078,0.005532,0.001145,0.001001,0.000999,0.002170,0.002414,0.000641,0.000341
9600,0.000562,0.001028,0.003085,0.006203,0.001135,0.000999,0.000998,0.002128,0.002640,0.000665,0.000300
9700,0.000566,0.001017,0.003083,0.005529,0.001148,0.001000,0.000999,0.002163,0.002532,0.000654,0.000318
9800,0.000589,0.001030,0.003076,0.006644,0.001144,0.000999,0.001001,0.002160,0.002562,0.000598,0.000312
9900,0.000584,0.000986,0.003092,0.006369,0.001147,0.001004,0.001003,0.002150,0.002221,0.000651,0.000311
10000,0.000598,0.000921,0.003077,0.006582,0.001141,0.001002,0.001001,0.002122,0.002260,0.000641,0.000296
10100,0.000575,0.000958,0.003081,0.006298,0.001151,0.001005,0.001004,0.002112,0.002187,0.000643,0.000291
10200,0.000607,0.001048,0.003080,0.006771,0.001138,0.000999,0.001000,0.002140,0.002559,0.000647,0.000294
10300,0.000603,0.000974,0.003079,0.007365,0.001142,0.001000,0.000998,0.002139,0.002774,0.000693,0.000309
10400,0.000598,0.000953,0.003086,0.005876,0.001152,0.001001,0.001002,0.002199,0.002818,0.000629,0.000305
10500,0.000580,0.000995,0.003081,0.006767,0.001149,0.000999,0.001000,0.002157,0.002315,0.000572,0.000291
10600,0.000596,0.000929,0.003082,0.007330,0.001137,0.000999,0.001000,0.002168,0.002896,0.000685,0.000289
10700,0.000598,0.000913,0.003080,0.006024,0.001132,0.001002,0.001006,0.002137,0.002615,0.000619,0.000286
10800,0.000608,0.000968,0.003066,0.006803,0.001145,0.001000,0.001001,0.002141,0.002228,0.000702,0.000305
10900,0.000593,0.000993,0.003079,0.006968,0.001152,0.000999,0.000997,0.002129,0.002566,0.000660,0.000299
11000,0.000639,0.000987,0.003079,0.006760,0.001124,0.000998,0.001000,0.002099,0.002858,0.000654,0.000307
11100,0.000584,0.000967,0.003076,0.007359,0.001146,0.001003,0.000999,0.002132,0.002598,0.000612,0.000320
11200,0.000625,0.001030,0.003076,0.006779,0.001144,0.000997,0.000999,0.002172,0.002437,inf,0.000297
11300,0.000608,0.001002,0.003083,0.006771,0.001128,0.001004,0.001000,0.002112,0.002596,0.000567,0.000311
11400,0.000603,0.001029,0.003079,0.007142,0.001143,0.001001,0.001005,0.002146,0.002366,0.000667,0.000298
11500,0.000581,0.000942,0.003087,0.006617,0.001132,0.001000,0.000998,0.002161,0.002642,0.000711,0.000283
11600,0.000600,0.001097,0.003075,0.006791,0.001131,0.000998,0.001000,0.002104,0.003062,0.000630,0.000295
